,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,欣技資訊股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,試算表(IFRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製表日期：,14/03/14,,17:44:31,,,幣別：,NTD,,,,,單    位：,元,,,,,,期    間：2013/01-2013/12,,,,,,,製表者：,tiptop,,頁次：,,1/15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,期初餘額,,,,,,本期異動,,,,,,異動筆數,,,,期末餘額,,,,,,,,
科目名?,,,,,,,,,借方,,貸方,,,,借方,,,貸方,,,借方,貸方,,,借方,,,貸方,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收退稅款,,,,,,,,,"5,834,995",,0,,,,"91,547,875",,,"88,133,127",,,27,26,,,"9,249,743.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應收收益,,,,,,,,,"34,799",,0,,,,"258,942",,,"265,495",,,68,103,,,"28,246.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-其他,,,,,,,,,"802,230",,0,,,,"1,385,076",,,"1,497,172",,,119,122,,,"690,134.00",,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備抵呆帳-其他應收款項,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-USA,,,,,,,,,0,,0,,,,"129,301",,,"129,301",,,12,17,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-賽弗萊,,,,,,,,,0,,0,,,,"133,692",,,"133,692",,,7,7,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-DACH,,,,,,,,,"380,000",,0,,,,0,,,"380,000",,,0,1,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-EMEA,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他應收款-關係人-賽弗萊-210天以上,,,,,,,,,0,,0,,,,0,,,0,,,0,0,,,0.00,,,0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
